"miRNA"	"hsa.let.7a.2"	"hsa.let.7a.3"	"hsa.let.7b"	"hsa.let.7c"	"hsa.let.7e"	"hsa.let.7g"	"hsa.let.7i"	"hsa.mir.100"	"hsa.mir.101.1"	"hsa.mir.106b"	"hsa.mir.107"	"hsa.mir.10a"	"hsa.mir.122"	"hsa.mir.1225"	"hsa.mir.1227"	"hsa.mir.1234"	"hsa.mir.124.2"	"hsa.mir.124.3"	"hsa.mir.1250"	"hsa.mir.1255b.1"	"hsa.mir.125a"	"hsa.mir.125b.1"	"hsa.mir.125b.2"	"hsa.mir.126"	"hsa.mir.127"	"hsa.mir.128.1"	"hsa.mir.1287"	"hsa.mir.130a"	"hsa.mir.130b"	"hsa.mir.132"	"hsa.mir.133a.1"	"hsa.mir.134"	"hsa.mir.135a.1"	"hsa.mir.136"	"hsa.mir.137"	"hsa.mir.138.1"	"hsa.mir.138.2"	"hsa.mir.140"	"hsa.mir.141"	"hsa.mir.142"	"hsa.mir.143"	"hsa.mir.145"	"hsa.mir.146a"	"hsa.mir.149"	"hsa.mir.150"	"hsa.mir.152"	"hsa.mir.153.2"	"hsa.mir.154"	"hsa.mir.155"	"hsa.mir.15a"	"hsa.mir.15b"	"hsa.mir.16.2"	"hsa.mir.17"	"hsa.mir.181a.1"	"hsa.mir.181a.2"	"hsa.mir.181b.1"	"hsa.mir.181c"	"hsa.mir.182"	"hsa.mir.184"	"hsa.mir.187"	"hsa.mir.18a"	"hsa.mir.191"	"hsa.mir.192"	"hsa.mir.193a"	"hsa.mir.194.1"	"hsa.mir.194.2"	"hsa.mir.195"	"hsa.mir.196a.1"	"hsa.mir.196a.2"	"hsa.mir.199a.1"	"hsa.mir.199a.2"	"hsa.mir.19a"	"hsa.mir.200a"	"hsa.mir.200b"	"hsa.mir.200c"	"hsa.mir.203"	"hsa.mir.204"	"hsa.mir.205"	"hsa.mir.206"	"hsa.mir.208a"	"hsa.mir.20a"	"hsa.mir.21"	"hsa.mir.210"	"hsa.mir.211"	"hsa.mir.212"	"hsa.mir.214"	"hsa.mir.216a"	"hsa.mir.217"	"hsa.mir.218.1"	"hsa.mir.218.2"	"hsa.mir.219.1"	"hsa.mir.219.2"	"hsa.mir.22"	"hsa.mir.221"	"hsa.mir.222"	"hsa.mir.223"	"hsa.mir.224"	"hsa.mir.23b"	"hsa.mir.24.1"	"hsa.mir.24.2"	"hsa.mir.25"	"hsa.mir.26a.2"	"hsa.mir.26b"	"hsa.mir.27a"	"hsa.mir.27b"	"hsa.mir.296"	"hsa.mir.299"	"hsa.mir.29a"	"hsa.mir.29b.2"	"hsa.mir.29c"	"hsa.mir.302a"	"hsa.mir.30a"	"hsa.mir.30b"	"hsa.mir.30c.1"	"hsa.mir.30c.2"	"hsa.mir.30d"	"hsa.mir.30e"	"hsa.mir.31"	"hsa.mir.3187"	"hsa.mir.32"	"hsa.mir.320a"	"hsa.mir.323"	"hsa.mir.33a"	"hsa.mir.34a"	"hsa.mir.34c"	"hsa.mir.3650"	"hsa.mir.3654"	"hsa.mir.429"	"hsa.mir.487a"	"hsa.mir.503"	"hsa.mir.543"	"hsa.mir.564"	"hsa.mir.636"	"hsa.mir.663b"	"hsa.mir.7.1"	"hsa.mir.7.2"	"hsa.mir.7.3"	"hsa.mir.877"	"hsa.mir.9.1"	"hsa.mir.9.2"	"hsa.mir.92a.1"	"hsa.mir.93"	"hsa.mir.935"	"hsa.mir.96"	"hsa.mir.98"	"hsa.mir.99a"	"hsa.mir.99b"	"bcr_patient_barcode"
"TCGA-10-0931-01A-01R-1564-13"	10065.77636	5129.92667	50567.544034	4379.845368	2671.181142	146.869066	257.020866	1405.746777	752.703964	3728.113886	66.877878	7193.961583	0	0	6.556655	20.981295	0	0	1.311331	0	3164.241579	1893.56189	79.991188	64.255216	894.327707	135.067088	14.42464	124.57644	66.877878	114.085793	5.245324	118.019785	1.311331	5.245324	0	0	0	435.361875	427.493889	20.981295	3604.848777	431.427882	15.735971	902.195693	148.180397	10.490648	0	0	72.123202	11.801979	811.713857	1.311331	179.65234	6004.584413	368.483997	135.067088	107.529138	1278.547675	0	65.566547	15.735971	618.948208	97.03849	2404.980959	27.53795	56.387231	6.556655	1.311331	0	209.812952	292.426802	0	807.779864	419.625904	100105.693274	1572.285807	1.311331	1736.202176	0	0	20.981295	30687.766856	3076.382405	0	3.933993	15.735971	0	0	1.311331	2.622662	17.047302	0	5741.006892	131.133095	97.03849	13.113309	94.415828	860.233102	201.944966	1333.623575	3691.39662	441.91853	218.992268	1675.880952	427.493889	1239.207746	1.311331	3928.747522	60.321224	148.180397	0	3964.153457	65.566547	0	520.598387	30095.045267	2475.792831	1.311331	6.556655	10.490648	615.014215	6.556655	3.933993	6.556655	20.981295	0	0	28.849281	0	48.519245	6.556655	0	31.471943	0	14.42464	0	1.311331	136.378419	36.717267	38.028598	10554.902804	4324.769468	653.042812	2.622662	14.42464	402.578601	341924.299487	"TCGA-10-0931"
"TCGA-13-1411-01A-01R-1565-13"	32567.488349	16416.899082	59886.47142	4766.156302	3372.288241	142.502756	461.160521	1668.902534	100.956763	2537.213784	49.439732	27512.587397	0	0	4.154599	1.24638	0	0	0	0	2114.275577	1183.645337	42.792373	154.551093	3789.41001	202.744445	86.000205	50.686111	84.338366	233.90394	5.816439	683.847043	2.90822	3.323679	0.41546	0.83092	0	1760.719178	236.812159	16.618397	5872.526092	1341.93557	52.347951	157.459313	1566.283931	51.101571	0	4.985519	251.353257	18.280237	2431.271503	1.66184	380.561295	8432.174713	2607.426512	783.972885	85.169285	12793.673044	4.985519	195.681626	15.787477	1204.833793	79.768306	3087.69819	16.202937	47.777892	11.632878	0.83092	0	358.126459	456.175002	0	1804.34247	924.813801	159967.0291	1015.384066	16.618397	251.768717	0	0	22.434836	13219.104011	267.971654	0.83092	5.816439	62.734449	0.83092	2.0773	4.154599	1.66184	19.942077	0	35609.901407	450.358563	141.671836	185.295128	2.90822	855.016533	48.193352	1191.954535	15826.945983	513.093012	162.444832	753.644311	629.421792	52.763411	6.647359	7732.955653	27.835815	68.135428	0	7350.732518	28.666735	6.647359	467.80788	9622.051948	5870.864252	27.004895	9.140118	2.90822	2354.411416	10.386498	3.323679	49.855191	3.739139	0	0.41546	21.603916	8.309199	15.372017	2.49276	0	2.49276	0	15.787477	0.41546	0	66.058129	21.188456	24.927596	3916.540748	5557.607466	11.217418	3.739139	6.231899	200.251686	217393.977742	"TCGA-13-1411"
"TCGA-13-1407-01A-01R-1565-13"	24589.3431	12383.364986	25206.297158	27062.569005	7811.438509	153.609483	172.228814	5744.566929	57.367669	1966.352352	77.37087	2504.300059	0.251613	0.251613	1.383869	0.754838	0	0	0	0	4660.745719	7880.757777	307.847998	85.296666	621.357279	251.612585	69.696686	151.722389	92.467625	58.248313	0.629031	64.035403	83.912797	0.251613	0	0.125806	0.503225	464.602638	142.664336	0.503225	1647.685013	411.889802	13.712886	328.857649	100.519228	7.170959	0	0.629031	296.399625	14.341917	1771.478405	2.893545	670.295927	4623.003832	4794.729421	616.199221	861.269879	12174.023315	17.109656	15.474174	18.367719	1461.617507	95.612782	2083.603817	40.635432	66.928948	3.39677	1.383869	0.125806	29.816091	37.616081	0.125806	1888.604063	998.398738	93479.107601	96.493426	10.567729	633.308877	23.274164	0.251613	32.332217	944.302032	550.654142	2.516126	0.377419	2.767738	0.251613	0.629031	4.277414	16.354818	18.116106	0.377419	2298.606771	37.9935	13.209661	5.787089	0.125806	1199.311387	33.087055	1503.762615	28474.870445	514.42193	116.999852	863.031167	631.421782	68.564429	2.012901	1538.485151	21.38707	22.519326	0	9309.162422	26.670934	5.032252	868.818256	8632.324568	5971.144062	72.087006	0.377419	3.648382	2618.909592	2.767738	1.383869	12.20321	2.641932	0	0.251613	8.932247	1.509676	5.409671	1.258063	0.125806	1.383869	0	12.077404	0	0	22.016101	303.69639	309.986705	6963.126679	8910.985506	41.516077	4.025801	7.296765	711.937809	338582.852502	"TCGA-13-1407"
"TCGA-13-0890-01A-01R-1564-13"	14662.574078	7382.634575	37906.92922	5081.850047	3005.127492	177.382396	473.019723	3085.001437	63.276761	648.327471	34.23169	15994.498034	0	0	0	8.298592	0	0	0	0	6165.853578	2870.275378	19.709155	456.422539	1815.316918	91.284508	46.679578	92.321832	46.679578	286.301411	35.269014	649.364795	0	1.037324	0	0	1.037324	433.601412	32.157043	19.709155	7453.172603	7123.303586	38.380986	521.773948	1333.998604	59.127465	0	13.485211	410.780285	7.261268	928.404938	10.37324	70.538029	3746.814119	1961.579595	271.778876	58.090141	1517.604943	2.074648	177.382396	7.261268	1553.911282	102.695071	1217.818321	8.298592	24.895775	16.597183	2.074648	0	642.103527	981.30846	0	421.153525	337.130285	14176.069144	1367.19297	39.41831	2745.796504	3.111972	0	6.223944	10891.901508	1107.861982	0	6.223944	101.657747	1.037324	1.037324	3.111972	6.223944	6.223944	0	18183.251575	113.068311	86.097888	57.052817	94.39648	1901.414806	109.956339	831.93381	7870.176833	433.601412	154.561269	462.646483	716.790852	168.04648	16.597183	3131.681015	58.090141	74.687325	0	5369.188782	45.642254	2.074648	725.089443	5977.060618	3090.188056	7.261268	5.18662	3.111972	1204.33311	13.485211	0	40.455634	19.709155	0	0	6.223944	13.485211	86.097888	5.18662	0	7.261268	0	16.597183	0	0	125.516198	69.500705	76.761973	1645.19579	3627.521864	113.068311	0	15.559859	319.495778	631698.130431	"TCGA-13-0890"
"TCGA-61-2008-01A-02R-1568-13"	64024.314325	32135.353935	153237.781567	12637.498739	6674.905997	299.473006	235.908714	2098.932251	90.431674	999.990826	32.109797	110.090733	0	0	1.965906	3.931812	0	0	0	0	6005.842672	4503.235226	81.912748	25.556777	3091.714755	119.264961	26.867381	27.522683	110.746035	184.139857	2.621208	290.298778	1.310604	2.621208	0	0	0	1153.33149	43.905233	0.655302	3055.017844	1828.947834	7.208322	477.715145	196.590595	13.10604	0	3.27651	83.878654	6.55302	835.510028	1.310604	412.840249	2982.279324	924.631098	194.624689	130.405095	568.802121	7.208322	23.590871	13.10604	854.513786	7.863624	3628.407079	3.931812	13.761342	23.590871	0	0	327.650991	359.760789	0.655302	608.775542	1125.153504	42304.985406	333.548709	7.863624	1520.3006	0	0	19.003758	7401.635896	596.324804	0	1.965906	51.113555	0.655302	0.655302	3.27651	2.621208	9.82953	0	5598.244839	395.147096	177.586837	8.518926	25.556777	2806.658392	223.457976	777.843454	9475.011369	389.90468	53.079461	218.870862	1697.887437	214.283748	15.071946	2441.655188	20.314361	39.973421	0	8371.48283	39.318119	3.27651	950.843177	31693.680399	2009.155879	2.621208	0	3.27651	647.438359	9.174228	5.897718	64.219594	15.727248	0	0	17.037852	15.071946	6.55302	3.27651	0.655302	0	1.310604	5.897718	0	0	32.765099	11.795436	16.38255	15829.474697	4914.764871	70.772614	1.965906	9.174228	404.321323	228808.516829	"TCGA-61-2008"
"TCGA-59-A5PD-01A-11R-A407-13"	12505.947649	6363.455383	7989.381534	489.695683	1530.857888	458.045481	453.339132	7523.805893	4666.110376	1594.864243	94.47997	832.317938	0	0.235317	0.352976	0.470635	0	0	0.235317	0	507.69747	706.305426	9.412699	1258.360242	502.049851	369.448449	22.590478	369.213131	122.012115	127.777393	2.000199	88.714691	41.298218	25.649606	0.117659	0.94127	0.588294	644.769904	1465.910262	919.032431	36172.062261	1060.222921	260.025819	175.78216	167.310731	428.395478	7.412501	7.765477	345.446065	131.189497	275.203797	18.472422	3688.601551	3243.969166	1885.481335	1179.99952	173.076009	2685.560778	11.648215	8.118453	127.306758	879.499094	442.632186	247.78931	119.423623	139.896244	32.120836	1.647222	0	1462.968794	2391.649241	92.479771	2067.264091	1640.751152	9664.606697	11003.32786	0.588294	45.651592	1.88254	0	1654.870201	342160.562766	1474.734668	0.235317	7.294842	30.708932	0	5.059326	0.117659	27.649804	4.471032	1.411905	117093.038415	622.061767	142.955371	200.843472	116.717472	1141.64277	18.354764	2100.679173	12116.379556	1778.882515	822.552263	1130.46519	1720.053144	5.529961	2.941469	4643.990533	335.68039	2025.965872	0	5901.409505	571.821484	2.117857	552.290133	7855.13291	8106.334323	1.411905	0.352976	38.35675	363.68317	2.235516	36.121234	139.190291	8.706747	0	0	177.6647	0.352976	2.588492	0.705952	0	0.470635	0.117659	21.296232	0.94127	1.058929	18.825399	95.774216	97.656756	814.080833	17635.162833	2.000199	10.118652	27.649804	163.192675	18918.349069	"TCGA-59-A5PD"
"TCGA-13-0903-01A-01R-1564-13"	18584.888648	9520.267398	40797.235854	15913.803985	2176.797146	296.250499	349.382382	1761.402424	111.093937	903.242011	85.333024	3138.001211	0	0	0	1.610057	0	0	0	0	4424.436802	7610.739725	125.584451	573.180314	1292.87582	125.584451	19.320685	304.300784	82.11291	146.515192	106.263766	684.274251	4.830171	1.610057	0	0	0	342.942154	144.905135	8.050285	4108.865618	3366.629313	40.251427	520.048431	966.034236	37.031312	0	8.050285	537.759058	3.220114	1373.378673	8.050285	180.326391	6924.855417	4662.725247	1091.618687	46.691655	11616.561691	6.440228	618.261911	9.660342	3640.339014	107.873823	890.361554	9.660342	24.150856	9.660342	0	0	389.633809	663.343509	3.220114	201.257133	207.697361	57828.419439	1492.522895	9.660342	32589.16496	0	0	14.490514	5142.522251	618.261911	0	6.440228	111.093937	0	3.220114	0	8.050285	3.220114	0	9755.335729	420.224893	278.539871	45.081598	320.401355	3199.183379	91.773252	1558.535234	12663.09878	518.438373	375.143295	1268.724964	1474.812267	341.332097	4.830171	13875.471747	135.244793	106.263766	0	10343.006556	676.223965	11.270399	1326.687018	25989.541069	6321.084019	17.710628	3.220114	32.201141	2070.53338	9.660342	9.660342	41.861484	11.270399	0	4.830171	9.660342	8.050285	54.74194	1.610057	0	11.270399	0	11.270399	0	0	149.735307	20.930742	19.320685	1896.647217	4641.794505	35.421255	3.220114	20.930742	975.694579	397223.617605	"TCGA-13-0903"
"TCGA-59-2351-01A-01R-1569-13"	49540.262734	24897.206354	107851.335975	21315.379026	7402.513448	334.296853	654.35709	6589.444445	101.238164	2735.01227	91.219804	1520.154304	0	0	2.636411	1.581846	0	0	0	0	4669.610307	3128.364719	173.475812	84.365137	8933.213394	230.422279	35.855183	85.419701	43.764415	783.541206	8.963796	1461.62599	26.364105	16.345745	0	0	0	3173.183698	66.437545	7.381949	15341.272796	3518.553475	77.510469	131.820526	2161.856624	42.70985	0	10.545642	272.604847	6.327385	1834.414437	2.109128	254.677256	3224.330062	1414.170601	408.116348	98.074471	3646.155744	7.381949	532.027642	12.65477	854.197007	73.292212	3653.010412	22.145848	63.273852	19.509438	1.581846	0	350.115317	496.172459	0	297.387106	536.245899	77226.264132	266.277462	13.709335	1292.895717	0.527282	0	6.854667	4757.139136	161.348324	0	12.65477	93.328932	0	1.054564	0	1.581846	29.000516	0	7566.498182	295.277978	102.292728	40.600722	108.092831	1774.83156	37.437029	1929.852498	23583.746635	1009.217946	109.147395	928.016502	986.544815	88.056111	40.07344	11091.379043	40.600722	103.347292	0	5301.294267	22.67313	10.545642	614.28365	9501.096219	5330.294782	1.054564	9.491078	4.745539	2509.33553	11.600206	25.309541	22.145848	2.636411	0.527282	0	7.381949	6.854667	16.345745	12.65477	0	1.581846	0	10.545642	0	0	61.164724	12.127488	7.381949	2115.455798	5003.90716	45.346261	3.163693	7.381949	685.994016	283347.165701	"TCGA-59-2351"
"TCGA-24-1418-01A-01R-1565-13"	46470.600998	23469.691532	77911.721721	5929.48849	5317.36866	160.765929	368.836876	4569.380279	119.151739	1950.176078	47.305019	8440.922611	0	1.778384	8.536244	1.422707	0	0	0	0	2841.146546	1996.058389	49.43908	120.574447	3071.269457	196.689289	67.934275	93.898684	78.60458	271.025747	4.623799	578.686208	13.51572	5.335153	0	0	0.355677	585.799745	166.456758	10.670305	5785.79505	616.743629	18.495195	563.392104	3146.672946	28.454147	0	3.556768	177.48274	10.670305	1150.614556	3.201092	313.706967	3778.710679	3126.043689	789.246893	92.475977	4697.423939	6.75786	15.294104	17.783842	765.060869	33.077946	1157.372416	10.670305	18.850872	7.113537	1.422707	0	89.274885	131.244752	0	980.245353	725.225063	68877.174475	1744.950545	14.58275	85.36244	0	0	20.984933	7665.902791	198.82335	0	9.958951	16.361134	0	0.355677	1.778384	11.737336	8.891921	0	10065.654387	256.08732	61.887769	41.258513	11.381659	2792.418819	153.296715	1409.547291	18188.957586	489.411323	110.259818	909.465663	2434.607925	136.224227	14.58275	7359.309361	19.206549	93.18733	0	10342.015286	43.748251	3.912445	488.699969	7908.474392	4932.882003	12.804366	4.623799	5.690829	2269.218197	15.294104	1.778384	20.27358	4.623799	0	0.355677	16.716811	5.690829	10.670305	2.845415	0	1.778384	0	14.227073	0	0	82.872702	2.134061	3.912445	1848.80818	5717.149421	117.373355	1.422707	10.314628	278.139284	365794.772333	"TCGA-24-1418"
"TCGA-25-1632-01A-01R-1566-13"	52208.692321	26101.802446	129464.29373	6426.619822	3424.737474	227.13874	775.683287	11905.780816	43.093516	553.332715	59.253584	16623.024506	0	0.299261	0.598521	0	0	0	0	0	4055.578665	2755.590935	32.918658	61.049148	792.142616	152.024348	40.998692	123.893858	29.926053	65.538055	0.299261	181.950401	5.087429	0.897782	0	0	0	228.635043	109.828613	0	1512.761965	358.514112	2.394084	436.321849	56.8595	9.277076	0	0.598521	113.120479	4.788168	1233.851154	1.795563	371.083054	3873.927525	3858.665238	963.918158	127.784245	666.153934	2.394084	55.063937	15.860808	1030.353995	83.493687	936.984711	26.933447	43.392776	5.386689	0.299261	0.299261	40.100911	49.976508	0.897782	1051.002972	1268.565375	71735.740984	483.605012	8.678555	2376.128586	23.940842	0	13.765984	2075.072496	541.960815	0.897782	0.299261	5.985211	0	0	7.780774	9.277076	16.160068	1.496303	1036.039945	341.755522	108.332311	6.284471	30.524574	1236.843759	66.136577	684.109565	11521.829559	567.39796	169.979979	1048.010366	570.091304	185.840787	2.992605	3982.559096	49.377987	37.108305	0	6344.323177	34.1157	2.693345	766.40621	9870.50997	4381.473379	8.379295	0.598521	3.591126	4275.235892	3.591126	0.299261	13.765984	80.800342	1.197042	0.598521	16.75859	0.598521	15.561547	0.598521	0	5.68595	0.598521	11.3719	0	0	29.626792	9.875597	9.875597	7465.652373	2456.629668	249.284019	0.598521	8.379295	174.768148	217446.888738	"TCGA-25-1632"
