"","mirs","stage","os","pfs"
"1","hsa.let.7c",0.000232564927165658,NA,NA
"2","hsa.let.7e",0.000472238480948201,NA,NA
"3","hsa.let.7g",0.000511615107102397,NA,NA
"4","hsa.let.7i",0.000233035478742011,NA,NA
"5","hsa.mir.101.1",0.000349146326348958,NA,0.000487174638491707
"6","hsa.mir.107",0.000315497413264952,NA,0.000461421794748413
"7","hsa.mir.126",0.000447949376179396,NA,NA
"8","hsa.mir.127",0.00026758960323876,NA,NA
"9","hsa.mir.1287",0.000267782507211262,NA,NA
"10","hsa.mir.132",0.000340186051103507,NA,NA
"11","hsa.mir.134",0.000369370650059707,NA,0.000499093798731724
"12","hsa.mir.140",0.000307273258291918,NA,NA
"13","hsa.mir.141",0.000337411114163234,0.000612853740910861,0.000984269329085133
"14","hsa.mir.142",0.00050960073617758,NA,NA
"15","hsa.mir.150",0.000257115797767973,NA,NA
"16","hsa.mir.152",0.000411364799455919,NA,NA
"17","hsa.mir.155",0.000477612916922749,NA,NA
"18","hsa.mir.16.2",0.000261710018158578,NA,0.000473403202815158
"19","hsa.mir.17",0.000408799182435479,NA,NA
"20","hsa.mir.184",0.00049698417155916,NA,NA
"21","hsa.mir.191",0.000404492841110152,0.00172268500307523,NA
"22","hsa.mir.196a.1",0.000424094351667112,NA,NA
"23","hsa.mir.199a.1",0.000233698110678885,NA,NA
"24","hsa.mir.199a.2",0.00046374239975359,NA,NA
"25","hsa.mir.19a",0.000444316620879201,NA,NA
"26","hsa.mir.203",0.000275312406449103,0.00157121515538178,NA
"27","hsa.mir.204",0.000396112241668432,NA,NA
"28","hsa.mir.20a",0.000878050577120182,NA,NA
"29","hsa.mir.21",0.000558717969285095,NA,NA
"30","hsa.mir.218.2",0.000237269996852675,NA,NA
"31","hsa.mir.219.1",0.000303664333122462,0.00109883502699118,NA
"32","hsa.mir.221",0.00046868267108386,NA,0.00050852643443746
"33","hsa.mir.222",0.000407672243971151,NA,0.000621292070722009
"34","hsa.mir.25",0.000245920025879749,NA,NA
"35","hsa.mir.27a",0.00041407080463425,NA,NA
"36","hsa.mir.299",0.000371286404520803,NA,NA
"37","hsa.mir.30a",0.000350062301038813,NA,0.000910595903699246
"38","hsa.mir.30c.1",0.000217283498023044,NA,NA
"39","hsa.mir.30e",0.000340205516442274,NA,0.000865847565847366
"40","hsa.mir.323",0.000254183849328258,NA,0.000600480449023746
"41","hsa.mir.33a",0.000223027969134691,NA,NA
"42","hsa.mir.34a",0.000725959933847964,NA,NA
"43","hsa.mir.34c",0.000252967044941243,NA,NA
"44","hsa.mir.487a",0.000245487120178763,NA,NA
"45","hsa.mir.543",0.000234809998248884,NA,0.000768033904641477
"46","hsa.mir.7.1",0.000247813180720627,NA,NA
"47","hsa.mir.877",0.000315021956169343,0.0016017357590852,0.00120804267917502
"48","hsa.mir.93",0.000816847378624743,NA,NA
"49","hsa.mir.99a",0.000316699871009058,NA,0.000442607359521214
"50","hsa.mir.99b",0.000274514845915988,NA,NA
"51","hsa.let.7a.2",NA,0.000753904468395497,NA
"52","hsa.let.7b",NA,0.00080257459269387,0.000579943861820316
"53","hsa.mir.125a",NA,0.000729768279872419,NA
"54","hsa.mir.130b",NA,0.00156256197956106,0.000445399420311437
"55","hsa.mir.143",NA,0.00226442131396765,0.000502641688310384
"56","hsa.mir.187",NA,0.00159713672121104,0.00432620773713461
"57","hsa.mir.18a",NA,0.00139001812454683,0.000583486514885594
"58","hsa.mir.24.2",NA,0.00156797295114187,NA
"59","hsa.mir.98",NA,0.000739776263250483,NA
"60","hsa.mir.10a",NA,NA,0.00101976633626215
"61","hsa.mir.124.2",NA,NA,0.000917054961410003
"62","hsa.mir.125b.1",NA,NA,0.000620394951223003
"63","hsa.mir.135a.1",NA,NA,0.000750419120861494
"64","hsa.mir.138.1",NA,NA,0.000445409908993323
"65","hsa.mir.194.1",NA,NA,0.000572436510110427
"66","hsa.mir.200a",NA,NA,0.000839633264281049
"67","hsa.mir.200c",NA,NA,0.000420051239879839
"68","hsa.mir.218.1",NA,NA,0.000564736302231236
"69","hsa.mir.22",NA,NA,0.00135658054731374
"70","hsa.mir.223",NA,NA,0.000852219864521705
"71","hsa.mir.30c.2",NA,NA,0.000610874958385666
"72","hsa.mir.30d",NA,NA,0.000583717577669826
