microRNA,Importance in PFS,Importance in OS,,,,,,,,
hsa.mir.143,0.0023,0.0027,,,,,,,,
hsa.mir.191,0.0017,0.0016,,,,,,,,
hsa.mir.877,0.0016,0.0011,,,,,,,,
hsa.mir.187,0.0016,0.0024,,,,,,,,
hsa.mir.203,0.0016,0.0017,,,,,,,,
hsa.mir.24.2,0.0016,0.0008,,,,,,,,
hsa.mir.130b,0.0016,0.0021,,,,,,,,
hsa.mir.18a,0.0014,0.0022,,,,,,,,
hsa.mir.219.1,0.0011,-,,,,,,,,
hsa.let.7b,0.0008,0.0006,,,,,,,,
hsa.let.7a.2,0.0008,-,,,,,,,,
hsa.mir.98,0.0007,0.0009,,,,,,,,
hsa.mir.125a,0.0007,-,,,,,,,,
hsa.mir.141,0.0006,-,,,,,,,,
hsa.mir.3187,-,0.0009,,,,,,,,
hsa.mir.194.1,-,0.0007,,,,,,,,
hsa.mir.96,-,0.0007,,,,,,,,
hsa.let.7g,-,0.0007,,,,,,,,
,,,,,,hsa.mir.143,,,,
,,,,,,hsa.mir.187,,,,
,,,,,,hsa.mir.18a,,,,
,,,,,,hsa.mir.130b,,,,
,,,,,,hsa.mir.203,,,,
,,,,,,hsa.mir.191,,,,
,,,,,,hsa.mir.877,,,,
,,,,,,,,,,
,,,,,,,,,,hsa.mir.98
,,,,,,,,,,hsa.mir.24.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,hsa.let.7b,,,,
