"","x"
"hsa.let.7a.2",8.61857434792214e-05
"hsa.let.7a.3",0.000114984965833788
"hsa.let.7b",0.000189301652918006
"hsa.let.7c",0.000232564927165658
"hsa.let.7e",0.000472238480948201
"hsa.let.7g",0.000511615107102397
"hsa.let.7i",0.000233035478742011
"hsa.mir.100",9.4841082513768e-05
"hsa.mir.101.1",0.000349146326348958
"hsa.mir.106b",0.000135413020389197
"hsa.mir.107",0.000315497413264952
"hsa.mir.10a",9.22492156549579e-05
"hsa.mir.122",-4.44578959283005e-05
"hsa.mir.1225",-4.63124902402886e-05
"hsa.mir.1227",6.36872401183015e-05
"hsa.mir.1234",0.00019524479021738
"hsa.mir.124.2",-6.0606060606061e-06
"hsa.mir.124.3",5.20386327259481e-07
"hsa.mir.1250",5.62493238094727e-05
"hsa.mir.1255b.1",0
"hsa.mir.125a",6.20511977076176e-05
"hsa.mir.125b.1",1.57526897927418e-05
"hsa.mir.125b.2",3.06940641565227e-05
"hsa.mir.126",0.000447949376179396
"hsa.mir.127",0.00026758960323876
"hsa.mir.128.1",9.16272278252043e-05
"hsa.mir.1287",0.000267782507211262
"hsa.mir.130a",5.02104659320152e-05
"hsa.mir.130b",8.75617512660378e-05
"hsa.mir.132",0.000340186051103507
"hsa.mir.133a.1",-1.7565178056642e-05
"hsa.mir.134",0.000369370650059707
"hsa.mir.135a.1",0.000206432699190562
"hsa.mir.136",-4.61492577488936e-05
"hsa.mir.137",-5.3763440860215e-06
"hsa.mir.138.1",0.000137047397958106
"hsa.mir.138.2",8.99063598011575e-05
"hsa.mir.140",0.000307273258291918
"hsa.mir.141",0.000337411114163234
"hsa.mir.142",0.00050960073617758
"hsa.mir.143",-1.90154753321241e-05
"hsa.mir.145",0.000129113858950347
"hsa.mir.146a",-3.53944701713467e-05
"hsa.mir.149",8.2128954860523e-05
"hsa.mir.150",0.000257115797767973
"hsa.mir.152",0.000411364799455919
"hsa.mir.153.2",0.000158211828834987
"hsa.mir.154",8.12892030274883e-05
"hsa.mir.155",0.000477612916922749
"hsa.mir.15a",0.000189020364532333
"hsa.mir.15b",4.05352196615989e-05
"hsa.mir.16.2",0.000261710018158578
"hsa.mir.17",0.000408799182435479
"hsa.mir.181a.1",-4.50535774317573e-06
"hsa.mir.181a.2",8.61644289628868e-05
"hsa.mir.181b.1",0.000115227657811771
"hsa.mir.181c",0.00020309409179829
"hsa.mir.182",6.22479549441791e-05
"hsa.mir.184",0.00049698417155916
"hsa.mir.187",-6.43288487643048e-05
"hsa.mir.18a",7.73191953127982e-05
"hsa.mir.191",0.000404492841110152
"hsa.mir.192",0.000143002896786354
"hsa.mir.193a",-2.10726355767721e-05
"hsa.mir.194.1",0.000154839740430033
"hsa.mir.194.2",0.000108595849766003
"hsa.mir.195",8.49068999996574e-05
"hsa.mir.196a.1",0.000424094351667112
"hsa.mir.196a.2",0.000103376706335174
"hsa.mir.199a.1",0.000233698110678885
"hsa.mir.199a.2",0.00046374239975359
"hsa.mir.19a",0.000444316620879201
"hsa.mir.200a",0.000124599453690113
"hsa.mir.200b",0.000155947292222132
"hsa.mir.200c",4.72111988681267e-06
"hsa.mir.203",0.000275312406449103
"hsa.mir.204",0.000396112241668432
"hsa.mir.205",8.56333398342436e-05
"hsa.mir.206",6.98394382813413e-05
"hsa.mir.208a",-2.03251695533797e-05
"hsa.mir.20a",0.000878050577120182
"hsa.mir.21",0.000558717969285095
"hsa.mir.210",7.97196759325385e-05
"hsa.mir.211",4.39250079347386e-06
"hsa.mir.212",4.14869768054972e-05
"hsa.mir.214",0.000127509639659499
"hsa.mir.216a",1.86739400922428e-05
"hsa.mir.217",1.7821196670593e-05
"hsa.mir.218.1",-0.000120985918482422
"hsa.mir.218.2",0.000237269996852675
"hsa.mir.219.1",0.000303664333122462
"hsa.mir.219.2",-3.92668878671978e-05
"hsa.mir.22",0.000108772784556276
"hsa.mir.221",0.00046868267108386
"hsa.mir.222",0.000407672243971151
"hsa.mir.223",0.00017766993541323
"hsa.mir.224",5.77437999580221e-06
"hsa.mir.23b",0.00019201090765766
"hsa.mir.24.1",0.00010799383044527
"hsa.mir.24.2",0.000166609424261938
"hsa.mir.25",0.000245920025879749
"hsa.mir.26a.2",0.000193295584537068
"hsa.mir.26b",8.72943641938623e-05
"hsa.mir.27a",0.00041407080463425
"hsa.mir.27b",0.000181744439013912
"hsa.mir.296",5.14498440331652e-05
"hsa.mir.299",0.000371286404520803
"hsa.mir.29a",0.000105452829081338
"hsa.mir.29b.2",0.000117539953989387
"hsa.mir.29c",0.000137094231696073
"hsa.mir.302a",0
"hsa.mir.30a",0.000350062301038813
"hsa.mir.30b",5.59440822941152e-05
"hsa.mir.30c.1",0.000217283498023044
"hsa.mir.30c.2",-7.55922157827638e-06
"hsa.mir.30d",0.000166441963556369
"hsa.mir.30e",0.000340205516442274
"hsa.mir.31",-1.92638915343799e-05
"hsa.mir.3187",0.000103886491045705
"hsa.mir.32",-9.45902574967528e-06
"hsa.mir.320a",0.000176190863524328
"hsa.mir.323",0.000254183849328258
"hsa.mir.33a",0.000223027969134691
"hsa.mir.34a",0.000725959933847964
"hsa.mir.34c",0.000252967044941243
"hsa.mir.3650",-8.60519477570998e-06
"hsa.mir.3654",4.98725914199419e-05
"hsa.mir.429",4.47146782567859e-05
"hsa.mir.487a",0.000245487120178763
"hsa.mir.503",2.74167467744592e-05
"hsa.mir.543",0.000234809998248884
"hsa.mir.564",-5.9708368717043e-06
"hsa.mir.636",0.000122827760931285
"hsa.mir.663b",-0.000208648293355225
"hsa.mir.7.1",0.000247813180720627
"hsa.mir.7.2",7.19751218964312e-05
"hsa.mir.7.3",-5.81497934566644e-05
"hsa.mir.877",0.000315021956169343
"hsa.mir.9.1",4.31824412712489e-05
"hsa.mir.9.2",3.55779519905093e-05
"hsa.mir.92a.1",-4.30978303971741e-05
"hsa.mir.93",0.000816847378624743
"hsa.mir.935",0.000121577488452627
"hsa.mir.96",0.00011052160162513
"hsa.mir.98",0.000131592555031176
"hsa.mir.99a",0.000316699871009058
"hsa.mir.99b",0.000274514845915988
