"","-sort(os_rfsrc$importance)"
"hsa.mir.15b",0.000588404986716582
"hsa.mir.29a",0.000563875497652623
"hsa.mir.30c.1",0.000528488538663128
"hsa.mir.100",0.000513917232314875
"hsa.let.7c",0.000491020945397245
"hsa.mir.9.2",0.000478747692320107
"hsa.mir.27b",0.000468416775345448
"hsa.mir.19a",0.000428280986265716
"hsa.mir.125b.1",0.000388113273592269
"hsa.mir.33a",0.00038753542178925
"hsa.mir.1227",0.000384423906661814
"hsa.mir.564",0.00037837468382297
"hsa.mir.99a",0.000373792611890226
"hsa.mir.210",0.000362807167598989
"hsa.mir.106b",0.000353186018162233
"hsa.mir.128.1",0.0003420385213879
"hsa.mir.7.1",0.000328899919988347
"hsa.mir.126",0.000325171911905882
"hsa.mir.193a",0.000322077687084537
"hsa.mir.214",0.000318008574441932
"hsa.mir.206",0.000316777936604928
"hsa.mir.146a",0.000298653957710099
"hsa.mir.181c",0.000293056303608668
"hsa.mir.184",0.00029199608207024
"hsa.mir.136",0.000288951608306234
"hsa.mir.93",0.000279123366592072
"hsa.mir.320a",0.000278649718954949
"hsa.mir.127",0.000276727383987265
"hsa.mir.200c",0.00026088348615707
"hsa.mir.3650",0.000260511902018472
"hsa.mir.10a",0.000253788693393094
"hsa.mir.218.1",0.000248956129016024
"hsa.mir.663b",0.000248255262771315
"hsa.mir.142",0.000244442905620979
"hsa.mir.205",0.000241708023293081
"hsa.mir.503",0.000237552251411686
"hsa.let.7e",0.000236588535188027
"hsa.mir.26b",0.000226206924882243
"hsa.mir.155",0.000206883434033109
"hsa.mir.145",0.000204097041395619
"hsa.mir.208a",0.000201123648056808
"hsa.mir.7.3",0.000199898070883605
"hsa.mir.7.2",0.00019497781231271
"hsa.mir.34a",0.000189759584714935
"hsa.mir.1234",0.000175463687279087
"hsa.mir.23b",0.000172910233976885
"hsa.mir.24.1",0.000169093039461278
"hsa.mir.25",0.000165442234028033
"hsa.mir.153.2",0.000165169420516341
"hsa.mir.34c",0.000161464270627963
"hsa.mir.26a.2",0.000153776255220336
"hsa.mir.27a",0.000150785999102668
"hsa.mir.935",0.000150574106437841
"hsa.mir.636",0.000144756094473282
"hsa.mir.221",0.000141639969337096
"hsa.mir.195",0.000135113258364227
"hsa.mir.216a",0.000134508669226975
"hsa.mir.543",0.000134049273537813
"hsa.mir.20a",0.000132775450377827
"hsa.mir.135a.1",0.000120500032475447
"hsa.mir.30d",9.87640624581531e-05
"hsa.mir.29b.2",9.65618598577295e-05
"hsa.mir.17",9.51133585251336e-05
"hsa.mir.140",9.41874720936534e-05
"hsa.mir.3654",8.22411714024765e-05
"hsa.mir.218.2",8.08507929365232e-05
"hsa.mir.30e",6.39367057506703e-05
"hsa.mir.219.2",5.90960469493708e-05
"hsa.mir.181b.1",5.75321719873269e-05
"hsa.mir.211",4.88326893098632e-05
"hsa.mir.217",4.37295484023894e-05
"hsa.mir.150",2.95261585380592e-05
"hsa.mir.122",2.69513932282532e-05
"hsa.mir.1225",1.75768377657274e-05
"hsa.mir.132",1.45282732730863e-05
"hsa.mir.9.1",1.06362030950381e-05
"hsa.mir.296",6.8779637554055e-06
"hsa.mir.181a.1",4.24182411965179e-07
"hsa.mir.1255b.1",0
"hsa.mir.429",-2.75353079690965e-06
"hsa.mir.137",-6.20880341848207e-06
"hsa.mir.302a",-8.07140197678991e-06
"hsa.mir.200b",-2.62365433976988e-05
"hsa.mir.224",-3.64178884946574e-05
"hsa.mir.22",-3.99087865678732e-05
"hsa.mir.134",-4.54122471557954e-05
"hsa.mir.130a",-5.13081543474799e-05
"hsa.mir.1250",-5.20092313311753e-05
"hsa.mir.196a.2",-6.17242539574269e-05
"hsa.mir.30a",-6.84657960702544e-05
"hsa.mir.181a.2",-7.65342384584183e-05
"hsa.mir.200a",-8.1725810719111e-05
"hsa.mir.125b.2",-8.35568730159212e-05
"hsa.mir.31",-8.86158699981476e-05
